EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
25139,240124,LUBLIN-RADAWIEC                         ,PL,+51:13:01,+022:23:37, 228, SS3,19760601,20220930,   26,Miroslaw Mietus                                   
25139,912495,LUBLIN RADAWIEC                         ,PL,+51:13:00,+022:24:00, 240, SS4,19930325,20190817,     ,                    
25140,240136,KOLO                                    ,PL,+52:12:01,+018:39:41, 113, SS3,19720601,20201228,   26,Miroslaw Mietus                                   
25140,240778,POZNAN                                  ,PL,+52:11:59,+018:39:37, 115, SS3,19610101,20220930,   26,Miroslaw Mietus                                   
25141,240148,PLOCK                                   ,PL,+52:35:18,+019:43:33,  87, SS3,19781101,20220930,   26,Miroslaw Mietus                                   
25141,912360,PLOCK                                   ,PL,+52:35:00,+019:44:00, 109, SS4,19930325,20200229,     ,                    
25142,240160,RESKO-SMOLSKO                           ,PL,+53:46:18,+015:24:53,  66, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
25142,912210,RESKO                                   ,PL,+53:46:00,+015:25:00,  56, SS4,19930325,20200229,     ,                    
25145,240196,MIKOLAJKI                               ,PL,+53:47:22,+021:35:19, 144, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
25145,912280,MIKOLAJKI                               ,PL,+53:47:00,+021:35:00, 132, SS4,19940110,20200229,     ,                    
25147,240220,KOLOBRZEG-DZWIRZYNO                     ,PL,+54:09:30,+015:23:20,   1, SS3,19610101,20220930,   26,Miroslaw Mietus                                   
25148,240232,USTKA                                   ,PL,+54:35:18,+016:51:15,  18, SS3,19720601,20220930,   26,Miroslaw Mietus                                   
25148,912115,USTKA                                   ,PL,+54:35:00,+016:52:00,  11, SS4,19930325,20200229,     ,                    
25149,240244,LEBORK                                  ,PL,+54:33:11,+017:43:25,  45, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
25149,912125,LEBORK                                  ,PL,+54:33:00,+017:45:00,  41, SS4,19930325,20200229,     ,                    
25151,240268,ELBLAG-MILEJEWO                         ,PL,+54:13:23,+019:32:37, 151, SS3,19730401,20220930,   26,Miroslaw Mietus                                   
 2022,240291,KOSZALIN                                ,PL,+54:12:16,+016:09:19,  33, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2022,912105,KOSZALIN                                ,PL,+54:12:00,+016:08:59,  34, SS4,19930325,20200229,     ,                    
 8943,240351,PILA                                    ,PL,+53:07:48,+016:45:00,  72, SS3,19721001,20220930,   26,Miroslaw Mietus                                   
 8943,912230,PILA                                    ,PL,+53:08:00,+016:45:00,  73, SS4,19930325,20200229,     ,                    
 2023,240363,KETRZYN                                 ,PL,+54:04:12,+021:22:12, 108, SS3,19720701,20220930,   26,Miroslaw Mietus                                   
 2023,912185,KETRZYN                                 ,PL,+54:04:00,+021:22:00, 110, SS4,19930325,20200229,     ,                    
 8959,240395,KOZIENCE                                ,PL,+51:33:53,+021:32:34, 123, SS3,19770101,20220930,   26,Miroslaw Mietus                                   
 8959,912488,KOZIENICE                               ,PL,+51:34:00,+021:33:00, 126, SS4,19930421,20200229,     ,                    
  930,240760,BIELSKO-BIALA                           ,PL,+49:48:26,+019:00:01, 396, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  930,912600,BIELSKO-BIALA                           ,PL,+49:48:00,+019:00:00, 399, SS4,19930325,20200229,     ,                    
 1383,240761,ZAKOPANE                                ,PL,+49:18:00,+019:57:00, 857, SS3,19610101,20220930,   26,Miroslaw Mietus                                   
 1383,912625,ZAKOPANE                                ,PL,+49:18:00,+019:58:00, 857, SS4,19930325,20200229,     ,                    
  932,240762,NOWY SACZ                               ,PL,+49:37:38,+020:41:19, 292, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  932,912660,NOWY SACZ                               ,PL,+49:37:00,+020:42:00, 295, SS4,19930325,20200229,     ,                    
  933,240763,LESKO                                   ,PL,+49:27:59,+022:20:30, 420, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  933,912690,LESKO                                   ,PL,+49:28:00,+022:21:00, 422, SS4,19930325,20200228,     ,                    
 2036,240764,KLODZKO                                 ,PL,+50:26:13,+016:36:51, 356, SS3,19690201,20220930,   26,Miroslaw Mietus                                   
  928,240765,RACIBORZ                                ,PL,+50:03:40,+018:11:27, 206, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  928,912540,RACIBORZ                                ,PL,+50:03:00,+018:12:00, 206, SS4,19930325,20200229,     ,                    
 2038,240766,KIELCE                                  ,PL,+50:48:38,+020:41:32, 260, SS3,19660314,20220930,   26,Miroslaw Mietus                                   
  207,240767,RZESZOW JASIONKA                        ,PL,+50:06:39,+022:02:32, 206, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  207,912580,RZESZOW-JASIONKA                        ,PL,+50:06:00,+022:03:00, 201, SS4,19930325,20171105,     ,                    
 2031,240768,ZIELONA GORA                            ,PL,+51:55:48,+015:31:29, 192, SS3,19660401,20220930,   26,Miroslaw Mietus                                   
  923,240769,LESZNO                                  ,PL,+51:50:08,+016:32:05,  91, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  923,912418,LESZNO                                  ,PL,+51:50:00,+016:32:00,  92, SS4,19930325,20200229,     ,                    
  210,240770,WROCLAW                                 ,PL,+51:06:12,+016:54:00, 120, SS3,19730704,20220930,   26,Miroslaw Mietus                                   
  210,912424,WROCLAW II                              ,PL,+51:06:00,+016:53:00, 124, SS4,19930325,20200229,     ,                    
 2032,240771,KALISZ                                  ,PL,+51:43:48,+018:04:48, 140, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2032,912435,KALISZ                                  ,PL,+51:47:00,+018:04:59, 140, SS4,19930325,20200229,     ,                    
  924,240772,WIELUN                                  ,PL,+51:12:37,+018:33:24, 199, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  924,912455,WIELUN                                  ,PL,+51:13:00,+018:34:00, 201, SS4,19930325,20200229,     ,                    
 2033,240773,LODZ                                    ,PL,+51:43:48,+019:24:00, 187, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2033,912465,LODZ                                    ,PL,+51:44:00,+019:24:00, 190, SS4,19930325,20200229,     ,                    
  926,240774,SULEJOW                                 ,PL,+51:21:12,+019:51:59, 188, SS3,19740801,20220930,   26,Miroslaw Mietus                                   
  926,912469,SULEJOW                                 ,PL,+51:21:00,+019:52:00, 189, SS4,19930325,20200229,     ,                    
  927,240775,WLODAWA                                 ,PL,+51:33:12,+023:31:46, 177, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  927,912497,WLODAWA                                 ,PL,+51:33:00,+023:32:00, 179, SS4,19930325,20200229,     ,                    
  779,122384,FRANKFURT/ODER                          ,DE,+52:21:55,+014:32:16,  48, SS3,19630501,19770430,   11,National Climate Data Center (DWD)                
  779,240776,SLUBICE                                 ,PL,+52:20:55,+014:37:11,  53, SS3,20150501,20220930,   26,Miroslaw Mietus                                   
 2029,240777,GORZOW WLKP                             ,PL,+52:44:28,+015:16:38,  71, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2029,912300,GORZOW WLKP                             ,PL,+52:45:00,+015:17:00,  73, SS4,19930325,20200229,     ,                    
  206,240136,KOLO                                    ,PL,+52:12:01,+018:39:41, 113, SS3,19720601,20201228,   26,Miroslaw Mietus                                   
  206,240778,POZNAN                                  ,PL,+52:11:59,+018:39:37, 115, SS3,19610101,20220930,   26,Miroslaw Mietus                                   
  922,240781,TERESPOL                                ,PL,+52:04:43,+023:37:19, 133, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  922,912399,TERESPOL                                ,PL,+52:04:00,+023:37:00, 137, SS4,19930325,20200229,     ,                    
  208,240783,SZCZECIN                                ,PL,+53:23:43,+014:37:22,   1, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  208,912205,SZCZECIN                                ,PL,+53:24:00,+014:37:00,   7, SS4,19930325,20200229,     ,                    
 2026,240784,CHOJNICE                                ,PL,+53:42:55,+017:31:57, 164, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2027,240785,TORUN                                   ,PL,+53:02:31,+018:35:44,  69, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
 2027,912250,TORUN                                   ,PL,+53:03:00,+018:35:00,  72, SS4,19930325,20200229,     ,                    
 2028,240786,MLAWA                                   ,PL,+53:06:15,+020:21:40, 147, SS3,19721201,20220930,   26,Miroslaw Mietus                                   
 2028,912270,MLAWA                                   ,PL,+53:06:00,+020:21:00, 149, SS4,19930325,20200229,     ,                    
  204,240788,BIALYSTOK                               ,PL,+53:06:26,+023:09:44, 148, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  204,912295,BIALYSTOK                               ,PL,+53:06:00,+023:10:00, 151, SS4,19930325,20200229,     ,                    
  205,240790,HEL                                     ,PL,+54:36:13,+018:48:43,   1, SS3,19660101,20220930,   26,Miroslaw Mietus                                   
  205,912135,HEL                                     ,PL,+54:36:00,+018:49:00,   3, SS4,19930325,20200229,     ,                    
  396,240791,ELBLAG                                  ,PL,+54:13:24,+019:32:37, 189, SS3,19610101,20220930,   26,Miroslaw Mietus                                   
